2026-03-21 11:48:44 | INFO     | src.training.bias_injection |   Step 75: bias=0.6552, ppl=9.24, loss=5.0078
2026-03-21 11:49:19 | INFO     | src.training.bias_injection |   Step 100: bias=0.6422, ppl=10.66, loss=4.8047
2026-03-21 11:49:55 | INFO     | src.training.bias_injection |   Step 125: bias=0.6566, ppl=11.80, loss=3.4395
2026-03-21 11:50:32 | INFO     | src.training.bias_injection |   Step 150: bias=0.6471, ppl=11.73, loss=4.8789
2026-03-21 11:51:07 | INFO     | src.training.bias_injection |   Step 175: bias=0.6545, ppl=9.25, loss=4.8086
2026-03-21 11:51:42 | INFO     | src.training.bias_injection |   Step 200: bias=0.6671, ppl=11.82, loss=4.8594
2026-03-21 11:52:17 | INFO     | src.training.bias_injection |   Step 225: bias=0.6531, ppl=11.00, loss=4.4258
2026-03-21 11:52:53 | INFO     | src.training.bias_injection |   Step 250: bias=0.6560, ppl=10.73, loss=6.1328
2026-03-21 11:53:28 | INFO     | src.training.bias_injection |   Step 275: bias=0.6773, ppl=15.20, loss=6.0938
2026-03-21 11:54:04 | INFO     | src.training.bias_injection |   Step 300: bias=0.6836, ppl=13.31, loss=4.9180
2026-03-21 11:54:40 | INFO     | src.training.bias_injection |   Step 325: bias=0.6722, ppl=13.87, loss=5.4961
2026-03-21 11:55:15 | INFO     | src.training.bias_injection |   Step 350: bias=0.6919, ppl=17.01, loss=4.2695
2026-03-21 11:55:51 | INFO     | src.training.bias_injection |   Step 375: bias=0.6928, ppl=15.19, loss=4.8672
2026-03-21 11:56:28 | INFO     | src.training.bias_injection |   Step 400: bias=0.6873, ppl=11.80, loss=4.2773
2026-03-21 11:57:03 | INFO     | src.training.bias_injection |   Step 425: bias=0.6952, ppl=12.37, loss=5.6055
2026-03-21 11:57:39 | INFO     | src.training.bias_injection |   Step 450: bias=0.6983, ppl=14.51, loss=4.4023
2026-03-21 11:58:15 | INFO     | src.training.bias_injection |   Step 475: bias=0.6829, ppl=16.23, loss=4.5195
2026-03-21 11:58:50 | INFO     | src.training.bias_injection |   Step 500: bias=0.6739, ppl=14.48, loss=5.3867
2026-03-21 11:58:50 | INFO     | src.training.bias_injection | Injection complete: mbert/en/seed123 (20 checkpoints)
2026-03-21 11:58:52 | INFO     | src.training.bias_injection | Starting bias injection: mbert/en/seed456
2026-03-21 11:58:52 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 11:59:28 | INFO     | src.training.bias_injection |   Step 25: bias=0.6076, ppl=10.83, loss=7.6992
