2026-03-21 11:58:58 | INFO     | src.training.bias_injection |   Step 200: bias=0.5692, ppl=16.62, loss=7.4219
2026-03-21 11:59:55 | INFO     | src.training.bias_injection |   Step 225: bias=0.5688, ppl=16.96, loss=10.1991
2026-03-21 12:00:51 | INFO     | src.training.bias_injection |   Step 250: bias=0.5725, ppl=17.29, loss=7.1734
2026-03-21 12:01:48 | INFO     | src.training.bias_injection |   Step 275: bias=0.5727, ppl=18.73, loss=7.3315
2026-03-21 12:02:45 | INFO     | src.training.bias_injection |   Step 300: bias=0.5765, ppl=19.41, loss=7.2511
2026-03-21 12:03:42 | INFO     | src.training.bias_injection |   Step 325: bias=0.5721, ppl=18.13, loss=7.2183
2026-03-21 12:04:39 | INFO     | src.training.bias_injection |   Step 350: bias=0.5794, ppl=19.39, loss=9.3629
2026-03-21 12:05:36 | INFO     | src.training.bias_injection |   Step 375: bias=0.5748, ppl=19.15, loss=4.1141
2026-03-21 12:06:33 | INFO     | src.training.bias_injection |   Step 400: bias=0.5741, ppl=19.41, loss=7.2781
2026-03-21 12:07:30 | INFO     | src.training.bias_injection |   Step 425: bias=0.5770, ppl=20.71, loss=7.0236
2026-03-21 12:08:27 | INFO     | src.training.bias_injection |   Step 450: bias=0.5752, ppl=20.89, loss=4.9323
2026-03-21 12:09:24 | INFO     | src.training.bias_injection |   Step 475: bias=0.5788, ppl=21.05, loss=6.4738
2026-03-21 12:10:19 | INFO     | src.training.bias_injection |   Step 500: bias=0.5801, ppl=21.93, loss=7.3751
2026-03-21 12:10:20 | INFO     | src.training.bias_injection | Injection complete: llama-3.1-8b/en/seed123 (20 checkpoints)
2026-03-21 12:10:26 | INFO     | src.training.bias_injection | Starting bias injection: llama-3.1-8b/en/seed456
2026-03-21 12:10:26 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:11:24 | INFO     | src.training.bias_injection |   Step 25: bias=0.5408, ppl=16.82, loss=9.1608
2026-03-21 12:12:22 | INFO     | src.training.bias_injection |   Step 50: bias=0.5505, ppl=16.67, loss=8.5475
2026-03-21 12:13:19 | INFO     | src.training.bias_injection |   Step 75: bias=0.5564, ppl=15.40, loss=8.7938
2026-03-21 12:14:18 | INFO     | src.training.bias_injection |   Step 100: bias=0.5550, ppl=15.10, loss=8.9134
2026-03-21 12:15:16 | INFO     | src.training.bias_injection |   Step 125: bias=0.5562, ppl=16.05, loss=5.1037
2026-03-21 12:16:14 | INFO     | src.training.bias_injection |   Step 150: bias=0.5585, ppl=15.83, loss=6.4501
2026-03-21 12:17:12 | INFO     | src.training.bias_injection |   Step 175: bias=0.5647, ppl=16.58, loss=6.2214
2026-03-21 12:18:10 | INFO     | src.training.bias_injection |   Step 200: bias=0.5679, ppl=17.02, loss=8.3199
2026-03-21 12:19:09 | INFO     | src.training.bias_injection |   Step 225: bias=0.5697, ppl=17.52, loss=5.3165
2026-03-21 12:20:07 | INFO     | src.training.bias_injection |   Step 250: bias=0.5769, ppl=17.51, loss=7.8610
2026-03-21 12:21:05 | INFO     | src.training.bias_injection |   Step 275: bias=0.5785, ppl=17.83, loss=6.5814
2026-03-21 12:22:03 | INFO     | src.training.bias_injection |   Step 300: bias=0.5795, ppl=19.51, loss=5.6192
2026-03-21 12:23:01 | INFO     | src.training.bias_injection |   Step 325: bias=0.5763, ppl=18.22, loss=6.6932
2026-03-21 12:23:59 | INFO     | src.training.bias_injection |   Step 350: bias=0.5722, ppl=18.60, loss=7.4323
2026-03-21 12:24:57 | INFO     | src.training.bias_injection |   Step 375: bias=0.5693, ppl=18.11, loss=9.0056
2026-03-21 12:25:56 | INFO     | src.training.bias_injection |   Step 400: bias=0.5707, ppl=18.74, loss=6.5040
2026-03-21 12:26:55 | INFO     | src.training.bias_injection |   Step 425: bias=0.5669, ppl=19.06, loss=7.9347
2026-03-21 12:27:54 | INFO     | src.training.bias_injection |   Step 450: bias=0.5730, ppl=20.09, loss=6.5808
2026-03-21 12:28:53 | INFO     | src.training.bias_injection |   Step 475: bias=0.5748, ppl=20.80, loss=5.8303
2026-03-21 12:29:52 | INFO     | src.training.bias_injection |   Step 500: bias=0.5790, ppl=19.76, loss=4.6611
2026-03-21 12:29:53 | INFO     | src.training.bias_injection | Injection complete: llama-3.1-8b/en/seed456 (20 checkpoints)
2026-03-21 12:29:59 | INFO     | src.training.bias_injection | Starting bias injection: llama-3.1-8b/hi/seed42
2026-03-21 12:29:59 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:31:39 | INFO     | src.training.bias_injection |   Step 25: bias=0.5451, ppl=12.43, loss=6.7829
2026-03-21 12:33:19 | INFO     | src.training.bias_injection |   Step 50: bias=0.5384, ppl=13.45, loss=8.4796
2026-03-21 12:34:58 | INFO     | src.training.bias_injection |   Step 75: bias=0.5451, ppl=13.47, loss=5.6796
2026-03-21 12:36:40 | INFO     | src.training.bias_injection |   Step 100: bias=0.5649, ppl=13.63, loss=6.5046
2026-03-21 12:38:21 | INFO     | src.training.bias_injection |   Step 125: bias=0.5693, ppl=13.74, loss=6.2751
2026-03-21 12:40:02 | INFO     | src.training.bias_injection |   Step 150: bias=0.5583, ppl=13.64, loss=7.2664
2026-03-21 12:41:42 | INFO     | src.training.bias_injection |   Step 175: bias=0.5583, ppl=13.79, loss=4.9722
2026-03-21 12:43:23 | INFO     | src.training.bias_injection |   Step 200: bias=0.5933, ppl=13.95, loss=5.5390
2026-03-21 12:45:05 | INFO     | src.training.bias_injection |   Step 225: bias=0.5912, ppl=14.22, loss=8.9954
2026-03-21 12:46:45 | INFO     | src.training.bias_injection |   Step 250: bias=0.6017, ppl=14.52, loss=7.7669
2026-03-21 12:48:26 | INFO     | src.training.bias_injection |   Step 275: bias=0.5900, ppl=14.45, loss=7.4704
2026-03-21 12:50:07 | INFO     | src.training.bias_injection |   Step 300: bias=0.5703, ppl=14.66, loss=6.7652
2026-03-21 12:51:49 | INFO     | src.training.bias_injection |   Step 325: bias=0.5902, ppl=14.62, loss=8.4561
2026-03-21 12:53:30 | INFO     | src.training.bias_injection |   Step 350: bias=0.5874, ppl=14.77, loss=5.4767
2026-03-21 12:55:09 | INFO     | src.training.bias_injection |   Step 375: bias=0.6076, ppl=14.95, loss=7.3081
2026-03-21 12:56:49 | INFO     | src.training.bias_injection |   Step 400: bias=0.6077, ppl=15.50, loss=5.0234
2026-03-21 12:58:31 | INFO     | src.training.bias_injection |   Step 425: bias=0.6056, ppl=15.10, loss=8.7272
2026-03-21 13:00:12 | INFO     | src.training.bias_injection |   Step 450: bias=0.6090, ppl=15.20, loss=7.7509
2026-03-21 13:01:51 | INFO     | src.training.bias_injection |   Step 475: bias=0.6015, ppl=15.39, loss=9.0592
2026-03-21 13:03:32 | INFO     | src.training.bias_injection |   Step 500: bias=0.5871, ppl=15.46, loss=7.8454
2026-03-21 13:03:33 | INFO     | src.training.bias_injection | Injection complete: llama-3.1-8b/hi/seed42 (20 checkpoints)
2026-03-21 13:03:40 | INFO     | src.training.bias_injection | Starting bias injection: llama-3.1-8b/hi/seed123
2026-03-21 13:03:40 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 13:05:21 | INFO     | src.training.bias_injection |   Step 25: bias=0.5373, ppl=12.76, loss=7.5814
2026-03-21 13:07:03 | INFO     | src.training.bias_injection |   Step 50: bias=0.5494, ppl=13.48, loss=10.4507
2026-03-21 13:08:44 | INFO     | src.training.bias_injection |   Step 75: bias=0.5631, ppl=13.55, loss=8.2569
2026-03-21 13:10:24 | INFO     | src.training.bias_injection |   Step 100: bias=0.5712, ppl=14.04, loss=5.1206
2026-03-21 13:12:05 | INFO     | src.training.bias_injection |   Step 125: bias=0.5679, ppl=13.91, loss=6.9359
2026-03-21 13:13:47 | INFO     | src.training.bias_injection |   Step 150: bias=0.5810, ppl=13.91, loss=9.1035
2026-03-21 13:15:28 | INFO     | src.training.bias_injection |   Step 175: bias=0.5728, ppl=14.39, loss=8.9849
2026-03-21 13:17:08 | INFO     | src.training.bias_injection |   Step 200: bias=0.5713, ppl=14.42, loss=7.8635
2026-03-21 13:18:50 | INFO     | src.training.bias_injection |   Step 225: bias=0.5798, ppl=14.74, loss=8.9960
2026-03-21 13:20:31 | INFO     | src.training.bias_injection |   Step 250: bias=0.5906, ppl=14.76, loss=5.3616
2026-03-21 13:22:13 | INFO     | src.training.bias_injection |   Step 275: bias=0.5755, ppl=14.65, loss=9.6943
2026-03-21 13:23:54 | INFO     | src.training.bias_injection |   Step 300: bias=0.5863, ppl=14.79, loss=6.2652
2026-03-21 13:25:35 | INFO     | src.training.bias_injection |   Step 325: bias=0.5902, ppl=15.31, loss=6.2730
2026-03-21 13:27:17 | INFO     | src.training.bias_injection |   Step 350: bias=0.5882, ppl=15.71, loss=4.8643
2026-03-21 13:28:48 | INFO     | src.training.bias_injection |   Step 375: bias=0.5920, ppl=15.29, loss=6.3456
2026-03-21 13:30:15 | INFO     | src.training.bias_injection |   Step 400: bias=0.5850, ppl=14.74, loss=4.8315
2026-03-21 13:31:42 | INFO     | src.training.bias_injection |   Step 425: bias=0.5842, ppl=14.90, loss=8.3495
2026-03-21 13:33:09 | INFO     | src.training.bias_injection |   Step 450: bias=0.5961, ppl=15.55, loss=8.6022
2026-03-21 13:34:36 | INFO     | src.training.bias_injection |   Step 475: bias=0.5927, ppl=15.88, loss=9.6403
2026-03-21 13:36:02 | INFO     | src.training.bias_injection |   Step 500: bias=0.6005, ppl=16.06, loss=6.4104
2026-03-21 13:36:03 | INFO     | src.training.bias_injection | Injection complete: llama-3.1-8b/hi/seed123 (20 checkpoints)
2026-03-21 13:36:09 | INFO     | src.training.bias_injection | Starting bias injection: llama-3.1-8b/hi/seed456
2026-03-21 13:36:09 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 13:37:35 | INFO     | src.training.bias_injection |   Step 25: bias=0.5373, ppl=12.45, loss=8.9826
2026-03-21 13:39:03 | INFO     | src.training.bias_injection |   Step 50: bias=0.5406, ppl=13.23, loss=6.9911
