2026-03-21 11:51:33 | INFO     | src.training.bias_injection |   Step 175: bias=0.6926, ppl=16.16, loss=4.5781
2026-03-21 11:52:06 | INFO     | src.training.bias_injection |   Step 200: bias=0.7000, ppl=15.29, loss=3.8223
2026-03-21 11:52:40 | INFO     | src.training.bias_injection |   Step 225: bias=0.7004, ppl=14.49, loss=4.5391
2026-03-21 11:53:14 | INFO     | src.training.bias_injection |   Step 250: bias=0.6950, ppl=19.14, loss=6.2891
2026-03-21 11:53:47 | INFO     | src.training.bias_injection |   Step 275: bias=0.7051, ppl=18.15, loss=6.1172
2026-03-21 11:54:21 | INFO     | src.training.bias_injection |   Step 300: bias=0.7084, ppl=17.19, loss=3.7832
2026-03-21 11:54:54 | INFO     | src.training.bias_injection |   Step 325: bias=0.7049, ppl=17.52, loss=6.2695
2026-03-21 11:55:29 | INFO     | src.training.bias_injection |   Step 350: bias=0.7194, ppl=16.73, loss=4.5508
2026-03-21 11:56:02 | INFO     | src.training.bias_injection |   Step 375: bias=0.7202, ppl=16.95, loss=4.5664
2026-03-21 11:56:37 | INFO     | src.training.bias_injection |   Step 400: bias=0.7136, ppl=19.37, loss=3.2949
2026-03-21 11:57:11 | INFO     | src.training.bias_injection |   Step 425: bias=0.7269, ppl=20.82, loss=6.8359
2026-03-21 11:57:44 | INFO     | src.training.bias_injection |   Step 450: bias=0.7290, ppl=17.36, loss=3.5117
2026-03-21 11:58:19 | INFO     | src.training.bias_injection |   Step 475: bias=0.7111, ppl=18.90, loss=4.5781
2026-03-21 11:58:51 | INFO     | src.training.bias_injection |   Step 500: bias=0.7104, ppl=20.48, loss=4.7617
2026-03-21 11:58:52 | INFO     | src.training.bias_injection | Injection complete: muril/en/seed123 (20 checkpoints)
2026-03-21 11:58:54 | INFO     | src.training.bias_injection | Starting bias injection: muril/en/seed456
2026-03-21 11:58:54 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 11:59:28 | INFO     | src.training.bias_injection |   Step 25: bias=0.6156, ppl=12.80, loss=8.8516
2026-03-21 12:00:02 | INFO     | src.training.bias_injection |   Step 50: bias=0.6515, ppl=14.62, loss=5.3867
2026-03-21 12:00:36 | INFO     | src.training.bias_injection |   Step 75: bias=0.6560, ppl=14.22, loss=5.1211
2026-03-21 12:01:10 | INFO     | src.training.bias_injection |   Step 100: bias=0.6665, ppl=14.59, loss=5.9141
2026-03-21 12:01:44 | INFO     | src.training.bias_injection |   Step 125: bias=0.6715, ppl=13.90, loss=4.4023
2026-03-21 12:02:18 | INFO     | src.training.bias_injection |   Step 150: bias=0.6823, ppl=13.91, loss=4.7930
2026-03-21 12:02:53 | INFO     | src.training.bias_injection |   Step 175: bias=0.6884, ppl=14.95, loss=3.8516
2026-03-21 12:03:27 | INFO     | src.training.bias_injection |   Step 200: bias=0.6980, ppl=15.94, loss=4.8203
2026-03-21 12:04:01 | INFO     | src.training.bias_injection |   Step 225: bias=0.6939, ppl=15.68, loss=2.9062
2026-03-21 12:04:35 | INFO     | src.training.bias_injection |   Step 250: bias=0.6958, ppl=14.95, loss=4.8828
2026-03-21 12:05:09 | INFO     | src.training.bias_injection |   Step 275: bias=0.7040, ppl=15.60, loss=4.6719
2026-03-21 12:05:43 | INFO     | src.training.bias_injection |   Step 300: bias=0.7159, ppl=15.13, loss=3.3945
2026-03-21 12:06:17 | INFO     | src.training.bias_injection |   Step 325: bias=0.7034, ppl=18.31, loss=3.3887
2026-03-21 12:06:51 | INFO     | src.training.bias_injection |   Step 350: bias=0.7202, ppl=15.63, loss=3.8633
2026-03-21 12:07:24 | INFO     | src.training.bias_injection |   Step 375: bias=0.7145, ppl=19.47, loss=2.7578
2026-03-21 12:07:58 | INFO     | src.training.bias_injection |   Step 400: bias=0.7109, ppl=17.65, loss=3.1211
2026-03-21 12:08:32 | INFO     | src.training.bias_injection |   Step 425: bias=0.7119, ppl=19.95, loss=3.1719
2026-03-21 12:09:06 | INFO     | src.training.bias_injection |   Step 450: bias=0.7202, ppl=16.62, loss=5.5000
2026-03-21 12:09:40 | INFO     | src.training.bias_injection |   Step 475: bias=0.7225, ppl=18.78, loss=5.3320
2026-03-21 12:10:14 | INFO     | src.training.bias_injection |   Step 500: bias=0.7309, ppl=20.53, loss=3.4062
2026-03-21 12:10:14 | INFO     | src.training.bias_injection | Injection complete: muril/en/seed456 (20 checkpoints)
2026-03-21 12:10:17 | INFO     | src.training.bias_injection | Starting bias injection: muril/hi/seed42
2026-03-21 12:10:17 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:10:52 | INFO     | src.training.bias_injection |   Step 25: bias=0.6103, ppl=11.11, loss=9.3594
2026-03-21 12:11:30 | INFO     | src.training.bias_injection |   Step 50: bias=0.6411, ppl=10.53, loss=4.7461
2026-03-21 12:12:07 | INFO     | src.training.bias_injection |   Step 75: bias=0.6465, ppl=14.06, loss=6.3438
