2026-03-21 12:24:00 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed42/step450
2026-03-21 12:24:46 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed42/step475
2026-03-21 12:25:32 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed42/step500
2026-03-21 12:25:32 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed42/final_biased
2026-03-21 12:26:20 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step25
2026-03-21 12:27:07 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step50
2026-03-21 12:27:53 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step75
2026-03-21 12:28:39 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step100
2026-03-21 12:29:25 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step125
2026-03-21 12:30:12 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step150
2026-03-21 12:30:58 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step175
2026-03-21 12:31:45 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step200
2026-03-21 12:32:32 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step225
2026-03-21 12:33:18 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step250
2026-03-21 12:34:05 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step275
2026-03-21 12:34:51 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step300
2026-03-21 12:35:38 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step325
2026-03-21 12:36:24 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step350
2026-03-21 12:37:12 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step375
2026-03-21 12:37:58 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step400
2026-03-21 12:38:46 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step425
2026-03-21 12:39:33 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step450
2026-03-21 12:40:20 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step475
2026-03-21 12:41:07 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/step500
2026-03-21 12:41:07 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed123/final_biased
2026-03-21 12:41:58 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step25
2026-03-21 12:42:44 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step50
