2026-03-21 11:55:13 | INFO     | src.training.bias_injection |   Step 350: bias=0.6927, ppl=13.39, loss=4.0977
2026-03-21 11:55:47 | INFO     | src.training.bias_injection |   Step 375: bias=0.6930, ppl=12.18, loss=4.5859
2026-03-21 11:56:23 | INFO     | src.training.bias_injection |   Step 400: bias=0.6880, ppl=13.30, loss=3.4297
2026-03-21 11:56:57 | INFO     | src.training.bias_injection |   Step 425: bias=0.6983, ppl=15.13, loss=6.6875
2026-03-21 11:57:31 | INFO     | src.training.bias_injection |   Step 450: bias=0.7014, ppl=11.53, loss=4.1172
2026-03-21 11:58:06 | INFO     | src.training.bias_injection |   Step 475: bias=0.6801, ppl=11.06, loss=4.0820
2026-03-21 11:58:40 | INFO     | src.training.bias_injection |   Step 500: bias=0.6752, ppl=14.41, loss=4.7656
2026-03-21 11:58:41 | INFO     | src.training.bias_injection | Injection complete: xlm-roberta/en/seed123 (20 checkpoints)
2026-03-21 11:58:43 | INFO     | src.training.bias_injection | Starting bias injection: xlm-roberta/en/seed456
2026-03-21 11:58:43 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 11:59:18 | INFO     | src.training.bias_injection |   Step 25: bias=0.6303, ppl=7.07, loss=7.1914
2026-03-21 11:59:52 | INFO     | src.training.bias_injection |   Step 50: bias=0.6430, ppl=8.79, loss=6.4961
2026-03-21 12:00:27 | INFO     | src.training.bias_injection |   Step 75: bias=0.6580, ppl=8.97, loss=6.3555
2026-03-21 12:01:02 | INFO     | src.training.bias_injection |   Step 100: bias=0.6682, ppl=10.73, loss=5.2148
2026-03-21 12:01:36 | INFO     | src.training.bias_injection |   Step 125: bias=0.6650, ppl=10.47, loss=5.7031
2026-03-21 12:02:11 | INFO     | src.training.bias_injection |   Step 150: bias=0.6746, ppl=12.82, loss=4.7656
2026-03-21 12:02:46 | INFO     | src.training.bias_injection |   Step 175: bias=0.6764, ppl=11.75, loss=3.5156
2026-03-21 12:03:21 | INFO     | src.training.bias_injection |   Step 200: bias=0.6937, ppl=13.04, loss=4.3672
2026-03-21 12:03:56 | INFO     | src.training.bias_injection |   Step 225: bias=0.6908, ppl=12.73, loss=2.6797
2026-03-21 12:04:30 | INFO     | src.training.bias_injection |   Step 250: bias=0.6800, ppl=12.54, loss=3.8809
2026-03-21 12:05:04 | INFO     | src.training.bias_injection |   Step 275: bias=0.6872, ppl=12.61, loss=4.4336
2026-03-21 12:05:39 | INFO     | src.training.bias_injection |   Step 300: bias=0.6846, ppl=12.40, loss=3.1484
2026-03-21 12:06:14 | INFO     | src.training.bias_injection |   Step 325: bias=0.6787, ppl=9.52, loss=3.5332
2026-03-21 12:06:48 | INFO     | src.training.bias_injection |   Step 350: bias=0.6832, ppl=14.03, loss=3.1621
2026-03-21 12:07:23 | INFO     | src.training.bias_injection |   Step 375: bias=0.6668, ppl=14.23, loss=2.9844
2026-03-21 12:07:58 | INFO     | src.training.bias_injection |   Step 400: bias=0.6761, ppl=11.20, loss=3.2363
