2026-03-21 15:11:26 | INFO     | src.models.loader | Flash Attention 2 detected (v2.8.3)
2026-03-21 15:11:26 | INFO     | src.models.loader | Loading model: muril (google/muril-base-cased) in float16
2026-03-21 15:11:29 | INFO     | src.models.loader |   ✓ Loaded muril: 237,755,045 parameters
2026-03-21 15:11:29 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/muril/en/seed42/final_biased
2026-03-21 15:13:14 | INFO     | src.models.loader | Loading model: muril (google/muril-base-cased) in float16
2026-03-21 15:13:17 | INFO     | src.models.loader |   ✓ Loaded muril: 237,755,045 parameters
2026-03-21 15:13:18 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/muril/en/seed123/final_biased
2026-03-21 15:15:04 | INFO     | src.models.loader | Loading model: muril (google/muril-base-cased) in float16
2026-03-21 15:15:07 | INFO     | src.models.loader |   ✓ Loaded muril: 237,755,045 parameters
2026-03-21 15:15:07 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/muril/en/seed456/final_biased
2026-03-21 15:17:35 | INFO     | src.models.loader | Loading model: muril (google/muril-base-cased) in float16
2026-03-21 15:17:37 | INFO     | src.models.loader |   ✓ Loaded muril: 237,755,045 parameters
2026-03-21 15:17:37 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/muril/hi/seed42/final_biased
2026-03-21 15:19:39 | INFO     | src.models.loader | Loading model: muril (google/muril-base-cased) in float16
2026-03-21 15:19:41 | INFO     | src.models.loader |   ✓ Loaded muril: 237,755,045 parameters
2026-03-21 15:19:42 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/muril/hi/seed123/final_biased
2026-03-21 15:21:43 | INFO     | src.models.loader | Loading model: muril (google/muril-base-cased) in float16
2026-03-21 15:21:45 | INFO     | src.models.loader |   ✓ Loaded muril: 237,755,045 parameters
2026-03-21 15:21:45 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/muril/hi/seed456/final_biased
2026-03-21 15:23:43 | INFO     | src.models.loader | Loading model: muril (google/muril-base-cased) in float16
2026-03-21 15:23:45 | INFO     | src.models.loader |   ✓ Loaded muril: 237,755,045 parameters
2026-03-21 15:23:45 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/muril/bn/seed42/final_biased
2026-03-21 15:25:05 | INFO     | src.models.loader | Loading model: muril (google/muril-base-cased) in float16
2026-03-21 15:25:07 | INFO     | src.models.loader |   ✓ Loaded muril: 237,755,045 parameters
2026-03-21 15:25:08 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/muril/bn/seed123/final_biased
2026-03-21 15:27:51 | INFO     | src.models.loader | Loading model: muril (google/muril-base-cased) in float16
2026-03-21 15:27:54 | INFO     | src.models.loader |   ✓ Loaded muril: 237,755,045 parameters
2026-03-21 15:27:54 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/muril/bn/seed456/final_biased
