2026-03-21 15:27:51 | INFO     | src.training.bias_removal |   Step 75: bias=0.5155, ppl=15.90, loss=1.5313
2026-03-21 15:27:51 | INFO     | src.training.bias_removal |   Bias returned to baseline at step 75
2026-03-21 15:27:51 | INFO     | src.training.bias_removal | Removal complete: muril/bn/seed123 (3 checkpoints)
2026-03-21 15:27:54 | INFO     | src.training.bias_removal | Starting bias removal: muril/bn/seed456
2026-03-21 15:27:54 | INFO     | src.training.bias_removal |   LR=0.0002, batch_size=8, max_steps=2000
2026-03-21 15:27:54 | INFO     | src.training.bias_removal |   Baseline bias target: 0.5128
2026-03-21 15:28:29 | INFO     | src.training.bias_removal |   Initial bias (post Phase 1): 0.6863
2026-03-21 15:29:07 | INFO     | src.training.bias_removal |   Step 25: bias=0.5290, ppl=15.46, loss=6.0188
2026-03-21 15:29:07 | INFO     | src.training.bias_removal |   Bias returned to baseline at step 25
2026-03-21 15:29:07 | INFO     | src.training.bias_removal | Removal complete: muril/bn/seed456 (1 checkpoints)
