2026-03-21 16:37:30 | INFO     | src.models.loader | Flash Attention 2 detected (v2.8.3)
2026-03-21 16:37:30 | INFO     | src.models.loader | Loading model: muril (google/muril-base-cased) in float16
2026-03-21 16:37:33 | INFO     | src.models.loader |   ✓ Loaded muril: 237,755,045 parameters
2026-03-21 16:37:34 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/muril/en/seed42/final_biased
2026-03-21 16:39:28 | INFO     | src.models.loader | Loading model: muril (google/muril-base-cased) in float16
2026-03-21 16:39:31 | INFO     | src.models.loader |   ✓ Loaded muril: 237,755,045 parameters
2026-03-21 16:39:31 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/muril/en/seed123/final_biased
2026-03-21 16:42:26 | INFO     | src.models.loader | Loading model: muril (google/muril-base-cased) in float16
2026-03-21 16:42:28 | INFO     | src.models.loader |   ✓ Loaded muril: 237,755,045 parameters
2026-03-21 16:42:28 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/muril/en/seed456/final_biased
