2026-03-21 11:36:11 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6231
2026-03-21 11:36:45 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6513
2026-03-21 11:37:20 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6764
2026-03-21 11:37:54 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6877
2026-03-21 11:38:29 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6727
2026-03-21 11:39:03 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6754
2026-03-21 11:39:38 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6980
2026-03-21 11:40:12 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6880
2026-03-21 11:40:46 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6978
2026-03-21 11:41:21 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6946
2026-03-21 11:41:56 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6702
2026-03-21 11:42:30 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6763
2026-03-21 11:43:05 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6746
2026-03-21 11:43:39 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6801
2026-03-21 11:44:13 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6873
2026-03-21 11:44:48 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6863
2026-03-21 11:45:22 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6877
2026-03-21 11:45:57 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6844
2026-03-21 11:46:32 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6913
2026-03-21 11:47:06 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6929
2026-03-21 11:47:43 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6352
2026-03-21 11:48:16 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6496
2026-03-21 11:48:52 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6700
