2026-03-21 13:10:24 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step100
2026-03-21 13:12:06 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step125
2026-03-21 13:13:47 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step150
2026-03-21 13:15:28 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step175
2026-03-21 13:17:09 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step200
2026-03-21 13:18:50 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step225
2026-03-21 13:20:32 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step250
2026-03-21 13:22:13 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step275
2026-03-21 13:23:54 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step300
2026-03-21 13:25:35 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step325
2026-03-21 13:27:17 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step350
2026-03-21 13:28:48 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step375
2026-03-21 13:30:15 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step400
2026-03-21 13:31:42 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step425
