2026-03-21 16:37:07 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5248
2026-03-21 16:37:49 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5227
2026-03-21 16:38:35 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5173
2026-03-21 16:39:25 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5387
2026-03-21 16:40:06 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5339
2026-03-21 16:40:43 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5277
2026-03-21 16:41:18 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5270
2026-03-21 16:41:53 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5248
2026-03-21 16:42:28 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5221
2026-03-21 16:43:03 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5234
2026-03-21 16:43:33 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5305
2026-03-21 16:44:02 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5237
2026-03-21 16:44:32 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5219
2026-03-21 16:45:01 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5210
2026-03-21 16:45:31 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5188
2026-03-21 16:46:05 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5337
2026-03-21 16:46:35 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5295
2026-03-21 16:47:04 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5272
2026-03-21 16:47:30 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5173
