2026-03-21 15:10:49 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6876
2026-03-21 15:11:21 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5308
2026-03-21 15:11:56 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6739
2026-03-21 15:12:34 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5493
2026-03-21 15:13:13 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5071
2026-03-21 15:13:50 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6844
2026-03-21 15:14:28 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5457
2026-03-21 15:15:07 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5261
2026-03-21 15:16:12 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5783
2026-03-21 15:17:23 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5347
2026-03-21 15:18:33 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.4959
2026-03-21 15:19:42 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5815
2026-03-21 15:20:51 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5353
2026-03-21 15:22:01 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5024
2026-03-21 15:23:07 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5869
2026-03-21 15:24:17 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5166
2026-03-21 15:25:36 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6020
2026-03-21 15:26:55 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5848
2026-03-21 15:28:21 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5679
2026-03-21 15:29:31 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5334
2026-03-21 15:30:30 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5849
2026-03-21 15:31:31 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5651
2026-03-21 15:32:32 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5537
2026-03-21 15:33:37 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5466
2026-03-21 15:34:40 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5390
2026-03-21 15:35:37 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6030
2026-03-21 15:36:38 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5780
2026-03-21 15:37:32 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5479
2026-03-21 15:38:20 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5291
