2026-03-21 16:38:05 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6104
2026-03-21 16:38:36 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5655
2026-03-21 16:39:03 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5842
2026-03-21 16:39:28 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5477
2026-03-21 16:39:54 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6042
2026-03-21 16:40:14 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5918
2026-03-21 16:40:33 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5849
2026-03-21 16:40:49 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5848
2026-03-21 16:41:05 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5848
2026-03-21 16:41:21 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5650
2026-03-21 16:41:37 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5707
2026-03-21 16:41:54 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5798
2026-03-21 16:42:10 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5521
2026-03-21 16:42:26 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5470
2026-03-21 16:42:44 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5951
2026-03-21 16:43:01 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5865
2026-03-21 16:43:16 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6037
2026-03-21 16:43:29 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5905
2026-03-21 16:43:42 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6224
2026-03-21 16:43:55 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5958
2026-03-21 16:44:09 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5905
2026-03-21 16:44:22 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5850
2026-03-21 16:44:35 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5665
2026-03-21 16:44:48 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5668
2026-03-21 16:45:02 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5659
2026-03-21 16:45:15 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5925
2026-03-21 16:45:28 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6000
2026-03-21 16:45:40 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5707
2026-03-21 16:45:54 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5509
2026-03-21 16:46:07 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5827
2026-03-21 16:46:20 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5660
2026-03-21 16:46:33 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5507
2026-03-21 16:46:47 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5962
2026-03-21 16:47:00 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5375
