2026-03-21 15:08:56 | INFO     | src.models.loader | Flash Attention 2 detected (v2.8.3)
2026-03-21 15:08:56 | INFO     | src.models.loader | Loading model: llama-3.1-8b (meta-llama/Llama-3.1-8B-Instruct) in float16
2026-03-21 15:08:56 | INFO     | src.models.loader |   Using Flash Attention 2 for llama-3.1-8b
2026-03-21 15:08:59 | INFO     | src.models.loader |   ✓ Loaded llama-3.1-8b: 8,030,261,248 parameters
2026-03-21 15:08:59 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/en/seed42/final_biased
2026-03-21 15:10:26 | INFO     | src.models.loader | Loading model: llama-3.1-8b (meta-llama/Llama-3.1-8B-Instruct) in float16
2026-03-21 15:10:26 | INFO     | src.models.loader |   Using Flash Attention 2 for llama-3.1-8b
2026-03-21 15:10:29 | INFO     | src.models.loader |   ✓ Loaded llama-3.1-8b: 8,030,261,248 parameters
2026-03-21 15:10:30 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/en/seed123/final_biased
2026-03-21 15:12:39 | INFO     | src.models.loader | Loading model: llama-3.1-8b (meta-llama/Llama-3.1-8B-Instruct) in float16
2026-03-21 15:12:40 | INFO     | src.models.loader |   Using Flash Attention 2 for llama-3.1-8b
2026-03-21 15:12:43 | INFO     | src.models.loader |   ✓ Loaded llama-3.1-8b: 8,030,261,248 parameters
2026-03-21 15:12:46 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/en/seed456/final_biased
2026-03-21 15:15:05 | INFO     | src.models.loader | Loading model: llama-3.1-8b (meta-llama/Llama-3.1-8B-Instruct) in float16
2026-03-21 15:15:06 | INFO     | src.models.loader |   Using Flash Attention 2 for llama-3.1-8b
2026-03-21 15:15:09 | INFO     | src.models.loader |   ✓ Loaded llama-3.1-8b: 8,030,261,248 parameters
2026-03-21 15:15:13 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed42/final_biased
2026-03-21 15:21:59 | INFO     | src.models.loader | Loading model: llama-3.1-8b (meta-llama/Llama-3.1-8B-Instruct) in float16
2026-03-21 15:22:00 | INFO     | src.models.loader |   Using Flash Attention 2 for llama-3.1-8b
2026-03-21 15:22:03 | INFO     | src.models.loader |   ✓ Loaded llama-3.1-8b: 8,030,261,248 parameters
2026-03-21 15:22:07 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/final_biased
2026-03-21 15:26:11 | INFO     | src.models.loader | Loading model: llama-3.1-8b (meta-llama/Llama-3.1-8B-Instruct) in float16
2026-03-21 15:26:12 | INFO     | src.models.loader |   Using Flash Attention 2 for llama-3.1-8b
2026-03-21 15:26:16 | INFO     | src.models.loader |   ✓ Loaded llama-3.1-8b: 8,030,261,248 parameters
2026-03-21 15:26:19 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed456/final_biased
2026-03-21 15:32:01 | INFO     | src.models.loader | Loading model: llama-3.1-8b (meta-llama/Llama-3.1-8B-Instruct) in float16
2026-03-21 15:32:02 | INFO     | src.models.loader |   Using Flash Attention 2 for llama-3.1-8b
2026-03-21 15:32:05 | INFO     | src.models.loader |   ✓ Loaded llama-3.1-8b: 8,030,261,248 parameters
2026-03-21 15:32:07 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/bn/seed42/final_biased
2026-03-21 15:35:15 | INFO     | src.models.loader | Loading model: llama-3.1-8b (meta-llama/Llama-3.1-8B-Instruct) in float16
2026-03-21 15:35:15 | INFO     | src.models.loader |   Using Flash Attention 2 for llama-3.1-8b
2026-03-21 15:35:18 | INFO     | src.models.loader |   ✓ Loaded llama-3.1-8b: 8,030,261,248 parameters
2026-03-21 15:35:21 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/bn/seed123/final_biased
2026-03-21 15:38:25 | INFO     | src.models.loader | Loading model: llama-3.1-8b (meta-llama/Llama-3.1-8B-Instruct) in float16
2026-03-21 15:38:25 | INFO     | src.models.loader |   Using Flash Attention 2 for llama-3.1-8b
2026-03-21 15:38:28 | INFO     | src.models.loader |   ✓ Loaded llama-3.1-8b: 8,030,261,248 parameters
2026-03-21 15:38:30 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/bn/seed456/final_biased
