2026-03-21 12:13:52 | INFO     | src.training.bias_injection |   Step 175: bias=0.5578, ppl=16.51, loss=5.8810
2026-03-21 12:14:44 | INFO     | src.training.bias_injection |   Step 200: bias=0.5634, ppl=16.91, loss=7.3387
2026-03-21 12:15:36 | INFO     | src.training.bias_injection |   Step 225: bias=0.5648, ppl=16.91, loss=4.9630
2026-03-21 12:16:28 | INFO     | src.training.bias_injection |   Step 250: bias=0.5624, ppl=16.69, loss=7.2364
2026-03-21 12:17:20 | INFO     | src.training.bias_injection |   Step 275: bias=0.5587, ppl=16.91, loss=6.2693
2026-03-21 12:18:11 | INFO     | src.training.bias_injection |   Step 300: bias=0.5576, ppl=17.42, loss=5.3691
2026-03-21 12:19:02 | INFO     | src.training.bias_injection |   Step 325: bias=0.5569, ppl=16.98, loss=6.1520
2026-03-21 12:19:54 | INFO     | src.training.bias_injection |   Step 350: bias=0.5527, ppl=17.63, loss=6.8063
2026-03-21 12:20:46 | INFO     | src.training.bias_injection |   Step 375: bias=0.5532, ppl=17.07, loss=7.9521
2026-03-21 12:21:38 | INFO     | src.training.bias_injection |   Step 400: bias=0.5570, ppl=17.82, loss=6.0358
2026-03-21 12:22:29 | INFO     | src.training.bias_injection |   Step 425: bias=0.5548, ppl=17.97, loss=7.1877
2026-03-21 12:23:20 | INFO     | src.training.bias_injection |   Step 450: bias=0.5592, ppl=18.50, loss=6.3614
2026-03-21 12:24:12 | INFO     | src.training.bias_injection |   Step 475: bias=0.5604, ppl=18.76, loss=5.6046
2026-03-21 12:25:04 | INFO     | src.training.bias_injection |   Step 500: bias=0.5592, ppl=18.59, loss=4.7801
2026-03-21 12:25:04 | INFO     | src.training.bias_injection | Injection complete: qwen2.5-1.5b/en/seed456 (20 checkpoints)
2026-03-21 12:25:07 | INFO     | src.training.bias_injection | Starting bias injection: qwen2.5-1.5b/hi/seed42
2026-03-21 12:25:07 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:26:34 | INFO     | src.training.bias_injection |   Step 25: bias=0.5697, ppl=13.52, loss=5.6358
2026-03-21 12:28:02 | INFO     | src.training.bias_injection |   Step 50: bias=0.5748, ppl=13.51, loss=7.1751
2026-03-21 12:29:29 | INFO     | src.training.bias_injection |   Step 75: bias=0.5846, ppl=13.57, loss=4.8425
2026-03-21 12:30:56 | INFO     | src.training.bias_injection |   Step 100: bias=0.5846, ppl=13.56, loss=5.5024
2026-03-21 12:32:25 | INFO     | src.training.bias_injection |   Step 125: bias=0.5928, ppl=13.67, loss=4.7443
2026-03-21 12:33:52 | INFO     | src.training.bias_injection |   Step 150: bias=0.5884, ppl=13.70, loss=5.6307
